name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_convolution_par/30/100/11/iterations:3",3,2.71299e+08,2.66443e+08,ns,,,,,
"BM_convolution_par/30/200/1/iterations:3",3,1.47195e+08,1.4022e+08,ns,,,,,
"BM_convolution_par/30/200/2/iterations:3",3,1.60498e+08,1.554e+08,ns,,,,,
"BM_convolution_par/30/200/3/iterations:3",3,1.60469e+08,1.53867e+08,ns,,,,,
"BM_convolution_par/30/200/4/iterations:3",3,1.84534e+08,1.7558e+08,ns,,,,,
"BM_convolution_par/30/200/5/iterations:3",3,2.10761e+08,2.05298e+08,ns,,,,,
"BM_convolution_par/30/200/6/iterations:3",3,2.20082e+08,2.13664e+08,ns,,,,,
"BM_convolution_par/30/200/7/iterations:3",3,2.35767e+08,2.29415e+08,ns,,,,,
"BM_convolution_par/30/200/8/iterations:3",3,2.62791e+08,2.5803e+08,ns,,,,,
"BM_convolution_par/30/200/9/iterations:3",3,2.9346e+08,2.86649e+08,ns,,,,,
"BM_convolution_par/30/200/10/iterations:3",3,3.33015e+08,3.21749e+08,ns,,,,,
"BM_convolution_par/30/200/11/iterations:3",3,3.6537e+08,3.58428e+08,ns,,,,,
"BM_convolution_par/30/300/1/iterations:3",3,1.4808e+08,1.42587e+08,ns,,,,,
"BM_convolution_par/30/300/2/iterations:3",3,1.6026e+08,1.5297e+08,ns,,,,,
"BM_convolution_par/30/300/3/iterations:3",3,1.79927e+08,1.73879e+08,ns,,,,,
"BM_convolution_par/30/300/4/iterations:3",3,1.93507e+08,1.88489e+08,ns,,,,,
"BM_convolution_par/30/300/5/iterations:3",3,2.22637e+08,2.15759e+08,ns,,,,,
"BM_convolution_par/30/300/6/iterations:3",3,2.55207e+08,2.50107e+08,ns,,,,,
"BM_convolution_par/30/300/7/iterations:3",3,2.83247e+08,2.78074e+08,ns,,,,,
"BM_convolution_par/30/300/8/iterations:3",3,3.22973e+08,3.17965e+08,ns,,,,,
"BM_convolution_par/30/300/9/iterations:3",3,3.73474e+08,3.67877e+08,ns,,,,,
"BM_convolution_par/30/300/10/iterations:3",3,4.31834e+08,4.26642e+08,ns,,,,,
"BM_convolution_par/30/300/11/iterations:3",3,4.8568e+08,4.80959e+08,ns,,,,,
"BM_convolution_par/30/400/1/iterations:3",3,1.52702e+08,1.4661e+08,ns,,,,,
"BM_convolution_par/30/400/2/iterations:3",3,1.65076e+08,1.58612e+08,ns,,,,,
"BM_convolution_par/30/400/3/iterations:3",3,1.88155e+08,1.82821e+08,ns,,,,,
"BM_convolution_par/30/400/4/iterations:3",3,2.1761e+08,2.12795e+08,ns,,,,,
"BM_convolution_par/30/400/5/iterations:3",3,2.55622e+08,2.5074e+08,ns,,,,,
"BM_convolution_par/30/400/6/iterations:3",3,3.01848e+08,2.96467e+08,ns,,,,,
"BM_convolution_par/30/400/7/iterations:3",3,3.53687e+08,3.48855e+08,ns,,,,,
"BM_convolution_par/30/400/8/iterations:3",3,4.1948e+08,4.14273e+08,ns,,,,,
"BM_convolution_par/30/400/9/iterations:3",3,4.53473e+08,4.46776e+08,ns,,,,,
"BM_convolution_par/30/400/10/iterations:3",3,5.25088e+08,5.18255e+08,ns,,,,,
"BM_convolution_par/30/400/11/iterations:3",3,6.05962e+08,5.98634e+08,ns,,,,,
"BM_convolution_par/30/500/1/iterations:3",3,1.72829e+08,1.66624e+08,ns,,,,,
"BM_convolution_par/30/500/2/iterations:3",3,1.8034e+08,1.74215e+08,ns,,,,,
"BM_convolution_par/30/500/3/iterations:3",3,2.04635e+08,1.98588e+08,ns,,,,,
"BM_convolution_par/30/500/4/iterations:3",3,2.34105e+08,2.27765e+08,ns,,,,,
"BM_convolution_par/30/500/5/iterations:3",3,2.79814e+08,2.72631e+08,ns,,,,,
"BM_convolution_par/30/500/6/iterations:3",3,3.22034e+08,3.16754e+08,ns,,,,,
"BM_convolution_par/30/500/7/iterations:3",3,3.9869e+08,3.91808e+08,ns,,,,,
"BM_convolution_par/30/500/8/iterations:3",3,4.59031e+08,4.53183e+08,ns,,,,,
"BM_convolution_par/30/500/9/iterations:3",3,5.3269e+08,5.2699e+08,ns,,,,,
"BM_convolution_par/30/500/10/iterations:3",3,6.30654e+08,6.25672e+08,ns,,,,,
"BM_convolution_par/30/500/11/iterations:3",3,7.41845e+08,7.35933e+08,ns,,,,,
"BM_convolution_cpu_par/20/100/1/iterations:3",3,3.351e+08,2.58793e+08,ns,,,,,
"BM_convolution_cpu_par/20/100/2/iterations:3",3,7.66321e+08,5.92194e+08,ns,,,,,
"BM_convolution_cpu_par/20/100/3/iterations:3",3,1.24972e+09,1.07841e+09,ns,,,,,
"BM_convolution_cpu_par/20/100/4/iterations:3",3,1.9859e+09,1.71442e+09,ns,,,,,
"BM_convolution_cpu_par/20/100/5/iterations:3",3,2.96013e+09,2.38205e+09,ns,,,,,
"BM_convolution_cpu_par/20/100/6/iterations:3",3,3.9888e+09,3.34984e+09,ns,,,,,
"BM_convolution_cpu_par/20/100/7/iterations:3",3,5.14911e+09,4.71137e+09,ns,,,,,
"BM_convolution_cpu_par/20/100/8/iterations:3",3,6.52347e+09,6.07367e+09,ns,,,,,
"BM_convolution_cpu_par/20/100/9/iterations:3",3,8.00105e+09,7.67913e+09,ns,,,,,
"BM_convolution_cpu_par/20/100/10/iterations:3",3,9.73459e+09,9.34959e+09,ns,,,,,
"BM_convolution_cpu_par/20/100/11/iterations:3",3,1.16385e+10,1.12233e+10,ns,,,,,
"BM_convolution_cpu_par/20/200/1/iterations:3",3,6.55271e+08,5.12213e+08,ns,,,,,
"BM_convolution_cpu_par/20/200/2/iterations:3",3,1.36137e+09,1.14211e+09,ns,,,,,
"BM_convolution_cpu_par/20/200/3/iterations:3",3,2.50367e+09,2.20979e+09,ns,,,,,
"BM_convolution_cpu_par/20/200/4/iterations:3",3,4.01537e+09,3.67921e+09,ns,,,,,
"BM_convolution_cpu_par/20/200/5/iterations:3",3,5.74382e+09,5.30943e+09,ns,,,,,
"BM_convolution_cpu_par/20/200/6/iterations:3",3,7.8125e+09,7.38621e+09,ns,,,,,
"BM_convolution_cpu_par/20/200/7/iterations:3",3,1.01185e+10,9.62908e+09,ns,,,,,
"BM_convolution_cpu_par/20/200/8/iterations:3",3,1.2865e+10,1.23338e+10,ns,,,,,
"BM_convolution_cpu_par/20/200/9/iterations:3",3,1.5976e+10,1.53368e+10,ns,,,,,
"BM_convolution_cpu_par/20/200/10/iterations:3",3,1.94528e+10,1.86616e+10,ns,,,,,
"BM_convolution_cpu_par/20/200/11/iterations:3",3,2.32386e+10,2.24067e+10,ns,,,,,
"BM_convolution_cpu_par/20/300/1/iterations:3",3,9.80618e+08,7.67105e+08,ns,,,,,
"BM_convolution_cpu_par/20/300/2/iterations:3",3,2.04157e+09,1.71773e+09,ns,,,,,
"BM_convolution_cpu_par/20/300/3/iterations:3",3,3.74804e+09,3.32866e+09,ns,,,,,
"BM_convolution_cpu_par/20/300/4/iterations:3",3,6.0034e+09,5.47066e+09,ns,,,,,
"BM_convolution_cpu_par/20/300/5/iterations:3",3,8.77923e+09,8.18565e+09,ns,,,,,
"BM_convolution_cpu_par/20/300/6/iterations:3",3,1.16825e+10,1.10272e+10,ns,,,,,
