name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_convolution_cpu_par/100/1/4/iterations:10",10,4.69814e+08,3.73272e+07,ns,,,,,
"BM_convolution_cpu_par/100/1/5/iterations:10",10,6.71969e+08,3.75722e+07,ns,,,,,
"BM_convolution_cpu_par/100/1/6/iterations:10",10,9.19151e+08,3.94774e+07,ns,,,,,
"BM_convolution_cpu_par/100/1/7/iterations:10",10,1.19846e+09,3.987e+07,ns,,,,,
"BM_convolution_cpu_par/100/1/8/iterations:10",10,1.52269e+09,4.02957e+07,ns,,,,,
"BM_convolution_cpu_par/100/1/9/iterations:10",10,1.88398e+09,3.85492e+07,ns,,,,,
"BM_convolution_cpu_par/100/1/10/iterations:10",10,2.29291e+09,3.94233e+07,ns,,,,,
"BM_convolution_cpu_par/100/20/1/iterations:10",10,1.30517e+09,9.50244e+07,ns,,,,,
"BM_convolution_cpu_par/100/20/2/iterations:10",10,3.10006e+09,9.36296e+07,ns,,,,,
"BM_convolution_cpu_par/100/20/3/iterations:10",10,5.73457e+09,9.58296e+07,ns,,,,,
"BM_convolution_cpu_par/100/20/4/iterations:10",10,9.2275e+09,9.39308e+07,ns,,,,,
"BM_convolution_cpu_par/100/20/5/iterations:10",10,1.333e+10,9.45616e+07,ns,,,,,
"BM_convolution_cpu_par/100/20/6/iterations:10",10,1.82248e+10,9.30057e+07,ns,,,,,
"BM_convolution_cpu_par/100/20/7/iterations:10",10,2.38666e+10,1.00572e+08,ns,,,,,
"BM_convolution_cpu_par/100/20/8/iterations:10",10,3.02538e+10,9.48223e+07,ns,,,,,
"BM_convolution_cpu_par/100/20/9/iterations:10",10,3.76677e+10,9.85318e+07,ns,,,,,
"BM_convolution_cpu_par/100/20/10/iterations:10",10,4.56469e+10,9.52176e+07,ns,,,,,
